Common Name,Classification
broad,Vicia
fava,Vicia
tepary,Phaseolus
runner,Phaseolus
lima,Phaseolus
black,Phaseolus
pinto,Phaseolus
kidney,Phaseolus
adzuki,Vigna
ural,Vigna
mung,Vigna
bambara,Vigna
ricebean,Vigna
back-eyed pea,Vigna
cowpea,Vigna
yardlong,Vigna
chickpean,Cicer
garbanzo,Cicer
Pisum,Cicer
pea,Cicer
Indian pea,Lathyrus
tuberous pea,Lathyrus
lentil,lens
lentil,lablab
soybean,Glycine
winged,Psophocarpus
pigeon pea,Cajanus
velvet bean,Mucuna
guar,Cyamopsis
jack bean,Canavalia
sword bean,Canavalia
horse gram,Macrotyloma
tarwi,Lupinus
lupini,Lupinus
peanut,Arachis